HTHC	HTAC	B365H	B365D	B365A	HTHG	HTAG	HTHG-AG	FTHG	FTAG	FTR
8	0	1.53	4	7	0	0	0	1	1	2
0	5	2.3	3.2	3.3	1	3	-2	3	3	2
5	1	1.45	4.2	8	1	0	1	1	1	2
4	0	2.15	3.4	3.5	0	2	-2	2	2	2
3	2	1.85	3.5	4.5	1	2	-1	2	2	2
0	4	2	3.3	3.8	0	1	-1	2	1	1
1	2	2.38	3.2	3.2	0	0	0	0	1	3
7	0	1.85	3.4	4.33	2	0	2	3	0	1
0	4	9.5	4.75	1.36	0	2	-2	1	4	3
5	0	3.1	3.1	2.5	0	0	0	0	0	2
8	1	1.91	3.5	4.2	0	0	0	0	0	2
6	2	1.95	3.3	4.33	0	1	-1	2	2	2
7	1	1.44	4.33	8	1	0	1	1	1	2
2	0	1.62	3.8	6	1	1	0	1	2	3
5	0	1.95	3.5	4	3	0	3	5	0	1
2	1	4	3.5	1.95	1	0	1	1	0	1
1	2	4.2	3.5	1.91	0	1	-1	0	1	3
7	1	2.05	3.2	4	1	1	0	1	1	2
2	0	2.63	3.2	2.7	0	1	-1	1	1	2
5	3	2.05	3.2	4	0	0	0	1	1	2
1	8	1.67	3.75	5.5	2	0	2	2	1	1
5	2	1.73	3.75	4.75	1	0	1	4	3	1
1	0	1.62	3.8	6	2	0	2	3	1	1
3	1	2.9	3.25	2.5	0	1	-1	1	3	3
1	3	2.1	3.3	3.75	0	2	-2	2	2	2
3	1	1.85	3.4	4.75	0	0	0	1	0	1
1	1	2.38	3.25	3.1	1	0	1	3	1	1
4	2	3.5	3.25	2.2	0	0	0	0	0	2
1	1	3.6	3.3	2.15	1	0	1	1	1	2
1	0	4.75	3.3	1.85	1	2	-1	2	3	3
3	2	4	3.3	2	0	1	-1	1	2	3
0	2	2.3	3.2	3.3	1	1	0	3	3	2
3	0	1.18	7	17	2	0	2	4	0	1
4	0	2.5	3.2	3	0	1	-1	0	1	3
3	2	1.53	4	7	0	1	-1	0	1	3
1	1	2.6	3.1	2.88	0	0	0	0	2	3
3	1	2.2	3.3	3.4	0	1	-1	2	2	2
2	1	2.3	3.25	3.25	1	0	1	2	1	1
4	0	1.85	3.4	4.33	0	1	-1	3	1	1
5	4	2.4	3.2	3.1	1	0	1	1	1	2
6	3	1.8	3.5	4.75	0	0	0	0	1	3
7	0	1.17	7	19	0	0	0	2	0	1
3	0	1.62	3.6	6.5	0	1	-1	1	2	3
7	4	2	3.3	4	1	0	1	1	1	2
0	0	2.5	3.2	3	0	0	0	1	0	1
2	3	2	3.3	3.8	1	1	0	1	2	3
1	4	1.4	5	7.5	1	0	1	2	1	1
7	0	3.4	3.4	2.15	1	0	1	1	1	2
4	0	1.44	4.2	8.5	0	1	-1	1	1	2
8	3	2.2	3.2	3.5	1	1	0	2	1	1
1	4	7.5	3.8	1.53	0	0	0	2	1	1
1	5	5.25	3.6	1.73	1	1	0	1	2	3
0	4	1.53	4	7	1	1	0	3	1	1
5	2	1.8	3.5	4.75	1	1	0	2	1	1
4	5	3.1	3.3	2.38	2	0	2	3	1	1
4	4	2.05	3.1	4.2	2	0	2	5	1	1
1	5	8	4.33	1.44	0	0	0	0	0	2
6	4	1.33	5	10	2	1	1	3	1	1
3	3	3.1	3.1	2.5	0	1	-1	1	3	3
2	6	4	3.4	2	0	1	-1	1	2	3
2	1	1.53	4	7	1	0	1	2	0	1
1	4	1.5	4.2	7	1	1	0	3	2	1
3	1	1.8	3.5	4.75	1	0	1	3	0	1
1	5	1.36	5	8.5	2	1	1	3	1	1
2	3	1.8	3.5	4.75	1	1	0	1	1	2
1	1	1.57	4	6	0	1	-1	0	1	3
2	0	2.6	3.1	2.9	0	0	0	0	1	3
0	4	4	3.3	2	2	0	2	3	1	1
1	3	3.3	3.3	2.25	0	2	-2	1	3	3
6	3	3.4	3.25	2.25	1	2	-1	1	4	3
4	2	15	6	1.22	1	2	-1	2	2	2
0	4	2.63	3.1	2.75	2	0	2	2	1	1
1	3	1.85	3.6	4.33	3	1	2	5	2	1
2	2	1.75	3.6	5	1	0	1	1	1	2
5	3	1.29	5.5	11	0	0	0	0	0	2
2	1	1.73	3.6	5	1	1	0	1	1	2
2	1	3.1	3.25	2.38	0	1	-1	0	1	3
3	2	1.17	7	19	2	1	1	2	1	1
6	2	2	3.2	4.2	1	0	1	3	0	1
5	0	1.75	3.6	5	0	0	0	1	1	2
4	1	1.6	3.8	6	1	1	0	2	1	1
6	2	1.44	4.33	8	1	0	1	2	0	1
5	3	5	3.6	1.75	1	1	0	1	1	2
1	4	3.3	3.25	2.3	0	0	0	1	2	3
4	1	1.5	4	7.5	0	0	0	2	0	1
1	3	2.38	3.2	3.2	1	1	0	1	1	2
3	1	3	3.1	2.5	0	0	0	0	0	2
0	3	2.5	3.1	3	1	0	1	1	2	3
4	0	1.95	3.5	4	0	1	-1	1	2	3
3	4	3	3.1	2.5	0	0	0	1	0	1
2	1	2.15	3.4	3.4	0	0	0	0	1	3
3	2	2.3	3.1	3.3	0	0	0	0	0	2
0	1	3.25	3.25	2.2	0	1	-1	0	3	3
0	1	3.2	3.3	2.3	0	0	0	1	0	1
0	4	3.3	3.3	2.25	0	0	0	1	1	2
2	1	1.55	4	6.5	1	1	0	2	2	2
6	0	1.85	3.5	4.5	1	0	1	2	0	1
2	2	3.4	3.25	2.25	0	0	0	0	0	2
3	4	4.75	3.4	1.85	0	0	0	0	0	2
3	4	2.15	3.3	3.6	0	1	-1	1	1	2
3	2	1.95	3.5	4	0	0	0	2	2	2
2	1	3.75	3.2	2.15	0	0	0	0	0	2
1	2	2.6	3	2.88	2	1	1	3	2	1
8	0	1.2	6.5	15	0	0	0	1	0	1
2	2	2	3.3	4	1	0	1	4	0	1
4	2	2.4	3.3	3	1	0	1	1	1	2
0	1	4.75	3.4	1.8	0	0	0	0	1	3
2	1	2.4	3.1	3.2	0	0	0	0	0	2
1	2	1.91	3.4	4.33	0	0	0	0	2	3
3	0	1.36	4.75	9.5	0	1	-1	1	1	2
1	0	1.62	3.75	6.25	2	1	1	4	1	1
5	1	4.5	3.5	1.85	1	0	1	2	0	1
0	7	1.91	3.5	4.2	0	0	0	2	1	1
6	2	1.65	3.6	6	0	0	0	0	2	3
2	4	3.1	3.1	2.5	0	0	0	0	2	3
1	2	2.5	3.1	3	1	0	1	1	0	1
4	1	1.8	3.75	4.33	1	0	1	3	1	1
2	0	5.25	3.75	1.67	0	1	-1	0	1	3
8	2	2	3.3	4	0	0	0	3	1	1
3	2	1.33	5	10	1	0	1	1	0	1
5	0	1.4	4.5	9	2	0	2	2	0	1
4	5	1.44	4.5	7.5	0	0	0	1	1	2
2	3	4.33	3.4	1.91	0	1	-1	0	2	3
4	3	2.63	3.25	2.75	0	0	0	1	0	1
5	1	3.3	3.3	2.25	1	0	1	2	2	2
2	3	2.8	3.1	2.7	0	2	-2	1	2	3
1	0	4.5	3.6	1.83	0	1	-1	1	3	3
3	2	1.73	3.6	5.25	0	0	0	2	0	1
3	3	1.95	3.4	4.2	1	0	1	1	1	2
1	2	1.2	6.5	15	1	1	0	1	1	2
3	2	1.36	5	8.5	1	0	1	2	0	1
3	2	2.5	3.2	3	0	1	-1	1	2	3
0	1	2.2	3.3	3.4	1	0	1	1	0	1
3	4	2.15	3.1	3.75	1	0	1	1	0	1
7	2	1.91	3.5	4.2	2	0	2	3	3	2
1	3	4	3.2	2.05	0	0	0	1	0	1
5	3	1.91	3.4	4	0	0	0	2	0	1
2	4	9	5	1.33	0	0	0	1	0	1
2	3	3.4	3.3	2.2	0	1	-1	0	3	3
1	1	2.1	3.2	3.6	1	0	1	2	1	1
2	2	2.63	3	2.8	0	0	0	0	1	3
1	1	1.45	4.2	7.5	3	0	3	4	0	1
3	4	1.91	3.3	4.2	0	0	0	1	1	2
2	2	2	3.4	3.75	1	0	1	3	0	1
1	1	2.75	3.2	2.6	0	0	0	1	1	2
1	2	2.25	3.1	3.4	0	2	-2	1	3	3
6	1	1.62	3.8	6	1	0	1	2	0	1
1	2	1.95	3.4	4.33	2	0	2	2	0	1
8	1	1.57	3.8	6.5	0	0	0	0	0	2
1	5	3.8	3.6	1.95	0	2	-2	0	3	3
0	1	2.25	3.1	3.6	1	0	1	1	1	2
9	0	1.53	3.8	6.5	2	1	1	2	2	2
4	2	2.25	3.3	3.3	0	0	0	0	0	2
3	3	2.2	3.25	3.5	2	0	2	2	1	1
3	1	1.44	4.5	7.5	1	1	0	1	1	2
3	2	3.2	3.2	2.38	1	0	1	1	1	2
5	3	1.44	4.5	7.5	0	0	0	0	1	3
2	1	2.4	3.25	3.1	1	0	1	2	1	1
7	0	3.1	3.25	2.38	0	0	0	2	1	1
3	1	2.5	3	3.2	1	1	0	2	2	2
6	2	1.44	4.75	7.5	0	1	-1	1	3	3
5	3	1.57	4	6	2	0	2	3	1	1
4	1	1.4	4.75	8	1	0	1	1	1	2
7	1	1.5	4.2	7	2	1	1	4	2	1
0	2	3.3	3.3	2.25	1	0	1	1	0	1
2	0	4.33	3.25	1.95	1	1	0	2	1	1
5	2	2.2	3.3	3.4	1	1	0	3	2	1
3	3	3.3	3.3	2.25	0	0	0	1	2	3
1	1	2.88	3.1	2.63	0	0	0	2	2	2
1	2	2.1	3.5	3.5	1	0	1	1	0	1
4	6	1.67	3.75	5.5	2	1	1	3	2	1
3	1	1.25	5.5	15	3	0	3	4	0	1
2	5	1.95	3.6	3.8	0	1	-1	1	3	3
