HTHC	HTAC	B365H	B365D	B365A	HTHG	HTAG	HTH-AG	FTHG	FTAG	FTR
0	2	2.35	3.3	3.4	0	0	0	0	0	2
3	1	2.25	3.4	3.5	0	1	-1	0	1	3
7	1	1.18	8	19	2	0	2	2	2	2
6	1	2.9	3.4	2.6	1	1	0	3	2	1
1	2	2.38	3.4	3.25	0	0	0	0	0	2
2	4	4.75	3.75	1.83	1	1	0	1	1	2
3	0	1.91	3.6	4.5	0	0	0	2	0	1
0	4	3.25	3.6	2.3	0	0	0	0	0	2
4	5	3.5	3.5	2.2	0	2	-2	1	2	3
4	0	1.7	4	5.5	1	0	1	4	1	1
0	1	2.4	3.3	3.3	0	0	0	0	0	2
3	3	3.4	3.4	2.3	2	0	2	2	0	1
2	1	1.4	5	9	2	0	2	2	2	2
4	2	1.22	7	15	0	0	0	3	2	1
5	0	1.83	3.75	4.75	2	1	1	3	3	2
2	2	3	3.4	2.5	1	0	1	1	1	2
2	2	2.9	3.4	2.6	1	0	1	2	0	1
5	4	4.2	3.5	2	1	1	0	1	1	2
3	0	5	3.75	1.8	3	1	2	5	3	1
0	0	1.85	3.75	4.5	1	1	0	1	1	2
3	3	2.2	3.4	3.6	2	1	1	2	1	1
4	2	1.2	7.5	17	1	0	1	2	0	1
1	3	3.5	3.5	2.2	0	0	0	2	1	1
2	5	4.5	3.75	1.85	0	0	0	1	1	2
3	2	2.2	3.4	3.6	1	0	1	1	0	1
2	4	4.5	3.6	1.91	0	1	-1	0	1	3
2	0	2.25	3.5	3.4	0	1	-1	1	1	2
2	2	2.05	3.4	4.2	0	0	0	1	0	1
6	0	1.44	4.75	8	2	0	2	3	0	1
2	2	1.83	3.75	4.75	0	0	0	0	1	3
3	2	4.5	3.6	1.91	0	1	-1	0	2	3
3	4	2.55	3.25	3.1	2	1	1	2	3	3
4	1	2.63	3.3	2.9	0	0	0	0	1	3
2	0	3.3	3.3	2.38	1	1	0	1	2	3
1	3	6	4.2	1.62	0	0	0	0	2	3
0	0	7	4.2	1.55	0	4	-4	0	5	3
