HTHC	HTAC	B365H	B365D	B365A	HTHG	HTAG	HTH-AG	FTHG	FTAG	FTR
3	3	1.6	4.33	6	0	1	-1	1	1	2
5	1	2.6	3.4	2.9	0	0	0	1	1	2
1	2	3.4	3.6	2.2	0	0	0	0	0	2
1	2	2.3	3.4	3.4	0	1	-1	0	1	3
1	3	2.15	3.4	3.8	1	0	1	3	0	1
3	3	1.5	4.5	7.5	0	1	-1	3	2	1
2	2	2.8	3.3	2.75	2	1	1	2	1	1
0	3	7	4	1.57	0	1	-1	0	1	3
1	0	1.95	3.4	4.5	3	0	3	4	0	1
3	5	9	6	1.33	1	1	0	1	2	3
2	3	1.75	3.8	5.25	1	1	0	2	1	1
0	4	3.1	3.2	2.6	0	1	-1	1	1	2
2	1	1.91	3.6	4.5	1	1	0	2	2	2
3	3	1.17	8.5	19	0	0	0	2	0	1
6	2	2.63	3.4	2.88	1	1	0	5	4	1
2	5	1.4	5	9	1	1	0	3	1	1
4	2	1.45	4.75	8	1	1	0	1	1	2
2	1	2.2	3.4	3.6	1	0	1	1	0	1
1	2	2.4	3.3	3.3	0	1	-1	0	1	3
1	4	3.5	3.3	2.3	2	0	2	3	0	1
4	2	2.15	3.6	3.6	1	0	1	1	3	3
3	3	1.62	4	6.5	2	0	2	2	0	1
1	1	3.4	3.4	2.3	0	0	0	2	1	1
3	0	1.36	5.5	9	2	0	2	5	0	1
2	3	2.2	3.3	3.75	2	0	2	3	1	1
3	1	4.75	4.2	1.75	0	1	-1	1	5	3
1	6	5	4	1.75	0	2	-2	4	3	1
2	2	3.6	3.5	2.15	0	1	-1	1	1	2
6	3	1.83	3.5	5.25	0	0	0	1	0	1
4	3	1.35	5.5	9.5	1	1	0	3	1	1
3	6	3.5	3.5	2.2	2	1	1	3	2	1
2	1	3.5	3.3	2.3	1	0	1	3	3	2
1	7	5.25	4	1.7	3	0	3	4	2	1
1	2	2.15	3.5	3.6	0	0	0	3	0	1
1	1	3.1	3.4	2.45	1	1	0	3	2	1
1	0	1.25	6.25	15	0	0	0	1	0	1
4	4	1.3	6	11	1	2	-1	2	2	2
2	4	2.2	3.4	3.6	1	0	1	1	0	1
1	2	1.7	3.7	6	0	0	0	1	0	1
3	4	2.4	3.4	3.2	1	0	1	1	0	1
3	2	4.2	3.75	1.91	1	1	0	2	1	1
0	3	5.25	4	1.7	0	1	-1	1	2	3
3	1	1.29	6.5	11	1	0	1	2	0	1
4	1	6	4.33	1.6	0	1	-1	0	3	3
1	1	3.1	3.3	2.5	0	0	0	0	0	2
1	4	10	5.75	1.33	0	1	-1	0	1	3
1	2	1.22	7	15	1	0	1	3	0	1
0	5	2.05	3.5	4	0	0	0	3	1	1
4	1	1.67	4	5.75	1	0	1	1	0	1
2	1	6.5	4.2	1.57	0	1	-1	0	1	3
2	3	2.1	3.4	4	2	0	2	3	0	1
6	5	2.6	3.4	2.9	2	0	2	2	2	2
3	5	2.63	3.3	2.9	0	0	0	1	0	1
1	1	5.75	3.8	1.7	0	1	-1	0	2	3
6	2	1.62	4.1	6	0	0	0	1	0	1
5	1	3	3.3	2.6	1	1	0	1	3	3
5	1	2.15	3.6	3.5	0	1	-1	2	1	1
7	1	1.22	7	15	1	1	0	2	1	1
1	0	4.2	3.6	1.95	0	0	0	0	1	3
3	2	1.33	5.5	8.5	0	0	0	1	0	1
2	0	2.9	3.1	2.6	0	0	0	1	0	1
3	3	1.36	5	8.5	1	0	1	3	0	1
0	5	10	5.5	1.3	0	0	0	0	3	3
2	2	2.5	3.3	2.9	0	0	0	0	2	3
3	2	1.22	6.5	13	1	0	1	3	1	1
3	0	2.63	3.2	2.8	0	1	-1	1	4	3
2	3	2.5	3.3	2.9	0	1	-1	1	1	2
3	1	1.3	5.5	10	2	1	1	4	1	1
1	6	2.8	3.25	2.6	1	1	0	1	4	3
2	3	4.33	3.5	1.95	1	1	0	2	2	2
0	0	2.4	3.25	3.3	1	0	1	4	1	1
5	2	1.25	6.5	14	1	0	1	4	2	1
5	2	2.1	3.6	3.7	1	0	1	1	0	1
1	1	2.35	3.6	3.1	1	0	1	1	0	1
7	2	1.25	6	16	0	0	0	2	1	1
3	2	1.75	3.7	5.5	1	1	0	1	2	3
0	2	2.9	3.4	2.6	0	2	-2	0	3	3
3	1	1.29	5.5	9.5	1	0	1	2	0	1
0	2	5.5	3.75	1.62	0	3	-3	1	4	3
6	3	2.2	3.4	3.6	0	0	0	3	0	1
4	2	1.17	8.5	19	0	0	0	2	1	1
0	1	2.75	3.2	2.88	0	0	0	0	0	2
2	3	11	5.5	1.33	1	1	0	2	2	2
2	6	1.75	3.7	5.5	0	1	-1	3	1	1
2	0	6	4	1.65	0	0	0	0	2	3
2	2	4.33	3.4	1.85	2	0	2	3	3	2
1	2	1.75	3.5	4.75	0	1	-1	1	2	3
5	0	1.8	3.5	4.5	1	0	1	2	0	1
1	1	2.63	3.25	2.63	1	0	1	2	0	1
2	3	3.6	3.4	2.2	0	0	0	1	0	1
4	4	3.3	3.5	2.3	1	1	0	3	1	1
1	3	6	4.1	1.62	0	1	-1	0	3	3
1	2	3.1	3.3	2.5	1	3	-2	1	3	3
2	1	7	4.75	1.5	0	1	-1	0	4	3
7	0	1.33	5.5	11	2	0	2	4	0	1
0	1	2.5	3.2	3.2	0	0	0	0	0	2
0	1	2.38	3.4	3.2	0	0	0	3	0	1
2	3	4.5	4	1.8	1	0	1	4	0	1
3	5	2.15	3.4	3.75	0	1	-1	1	1	2
5	1	1.83	3.75	4.75	0	1	-1	2	2	2
4	5	3.25	3.4	2.38	0	0	0	0	1	3
2	1	1.22	7	15	0	0	0	2	3	3
3	2	2.15	3.5	3.6	0	0	0	2	2	2
3	4	2.5	3.2	3.25	1	2	-1	1	3	3
0	3	6	4.2	1.6	1	0	1	1	1	2
1	2	1.7	3.8	5.75	2	0	2	2	0	1
5	2	1.2	7.5	17	0	0	0	2	1	1
7	2	1.18	8	19	1	0	1	2	0	1
5	1	1.83	3.5	5.25	2	0	2	3	0	1
3	3	1.22	7	15	0	2	-2	1	2	3
2	2	2.05	3.5	3.9	0	0	0	0	2	3
3	0	2.9	3.25	2.7	0	0	0	1	0	1
3	2	2.65	3.25	2.9	0	1	-1	1	1	2
2	2	2.7	3.1	3	1	1	0	1	1	2
2	4	9.5	5.25	1.36	0	0	0	0	0	2
4	1	3.4	3.4	2.3	1	0	1	2	1	1
4	1	1.2	7.5	17	0	0	0	0	0	2
2	4	2.88	3.4	2.63	1	1	0	1	1	2
0	3	6	4.5	1.57	0	3	-3	0	4	3
6	7	1.95	3.6	4.2	1	0	1	3	1	1
4	1	1.7	3.9	5.5	0	4	-4	0	4	3
0	5	1.7	4	5.25	3	0	3	6	3	1
1	4	8	4.75	1.45	1	0	1	2	0	1
0	2	1.85	3.75	4.5	1	2	-1	1	3	3
7	0	1.29	6	13	0	0	0	1	0	1
2	1	2.15	3.3	3.9	2	0	2	2	1	1
2	3	2.3	3.25	3.5	1	0	1	1	0	1
3	2	5.75	4	1.65	0	2	-2	0	3	3
8	0	1.22	7	15	1	0	1	2	1	1
2	3	1.29	6	13	1	0	1	2	0	1
8	2	2.3	3.4	3.4	2	0	2	2	0	1
2	0	1.25	6.5	14	1	0	1	2	0	1
2	1	3.9	3.3	2.15	0	0	0	0	0	2
4	1	2.15	3.3	3.9	0	0	0	1	0	1
3	0	3.9	3.4	2.1	0	2	-2	0	4	3
5	3	2.25	3.3	3.6	0	1	-1	2	2	2
0	1	9	5	1.4	1	1	0	1	1	2
4	2	2.4	3.3	3.25	2	0	2	2	0	1
1	4	7.5	5	1.44	0	1	-1	0	2	3
5	1	1.25	6.5	15	1	1	0	3	1	1
2	1	2.1	3.2	4.2	1	0	1	1	0	1
7	2	1.4	5.25	8.5	1	0	1	2	0	1
1	2	2.15	3.3	3.9	0	0	0	1	1	2
1	4	2.63	3.3	2.9	1	0	1	1	1	2
4	3	2.1	3.4	4	2	1	1	2	1	1
4	1	1.44	5	7.5	4	0	4	4	0	1
5	6	5.5	4.2	1.65	2	0	2	3	1	1
5	2	1.85	3.6	4.75	1	1	0	3	1	1
5	3	2.15	3.6	3.6	2	0	2	3	1	1
7	1	1.25	6.5	15	1	1	0	1	1	2
1	1	1.95	3.4	4.5	2	0	2	2	0	1
4	2	2	3.5	4.2	1	1	0	3	2	1
5	2	3.6	3.4	2.2	1	2	-1	3	4	3
3	2	2.2	3.3	3.8	0	0	0	0	2	3
3	2	11	6.5	1.29	0	1	-1	0	2	3
1	1	1.67	4.2	5.25	1	0	1	3	2	1
3	1	6	4.1	1.62	0	1	-1	1	2	3
4	0	1.25	6.5	15	0	0	0	0	0	2
3	2	2.6	3.5	2.8	1	1	0	3	2	1
4	2	1.67	3.8	6	2	0	2	3	0	1
2	4	2.55	3.3	3	0	0	0	2	1	1
7	1	1.25	6.5	14	1	1	0	2	1	1
1	2	2.15	3.5	3.6	1	0	1	2	0	1
2	1	1.91	3.5	4.75	0	0	0	1	0	1
3	2	1.53	4.33	7	1	0	1	4	0	1
1	2	6.5	4	1.62	1	1	0	1	2	3
1	3	2.55	3.3	3	0	0	0	0	0	2
3	0	5.25	4	1.73	1	1	0	3	1	1
1	5	2.3	3.5	3.3	1	3	-2	2	3	3
5	5	2	3.75	3.8	0	0	0	1	1	2
4	3	6	3.7	1.7	0	1	-1	1	3	3
4	1	1.73	3.8	5.5	2	0	2	2	1	1
2	4	5.75	3.8	1.7	0	0	0	0	2	3
5	2	1.3	5.75	12	1	2	-1	1	2	3
3	5	2.45	3.4	3.1	0	1	-1	2	1	1
7	2	2.05	3.5	4	1	0	1	2	0	1
1	2	1.73	3.9	5.25	2	1	1	3	1	1
1	0	1.36	5	11	0	0	0	0	0	2
5	3	1.65	4	6	0	0	0	0	0	2
6	6	1.85	3.6	4.75	0	0	0	1	0	1
2	2	3.1	3.75	2.3	1	2	-1	2	2	2
3	2	2	3.4	4.33	0	0	0	0	0	2
1	2	2.5	3.1	3.3	0	0	0	1	0	1
2	6	1.45	4.5	8.5	0	0	0	2	0	1
3	2	1.57	4.2	6.5	0	1	-1	1	1	2
2	1	2.5	3.2	3.2	1	0	1	2	0	1
3	0	1.4	5.25	8	0	0	0	3	0	1
1	3	2.4	3.5	3.1	2	1	1	2	1	1
4	3	2.05	3.3	4.2	3	2	1	4	2	1
4	2	1.36	5.25	9.5	1	1	0	2	2	2
5	4	1.83	3.7	4.75	1	1	0	3	1	1
3	2	5	4	1.73	1	0	1	1	3	3
2	2	6.5	4	1.6	1	2	-1	1	3	3
5	2	1.2	7.5	17	1	0	1	3	1	1
1	1	2.45	3.1	3.4	0	0	0	0	0	2
1	2	4	3.75	1.95	1	0	1	1	2	3
5	1	1.25	6.5	15	3	0	3	4	0	1
2	1	3	3.3	2.55	0	1	-1	0	1	3
1	1	2.1	3.6	3.7	1	0	1	1	0	1
3	2	1.75	3.9	5	3	2	1	4	2	1
2	4	10	5.25	1.36	0	1	-1	0	3	3
2	5	4.5	3.9	1.83	1	0	1	3	0	1
5	1	1.73	3.6	4.75	0	1	-1	2	2	2
4	4	1.4	4.5	8	0	0	0	3	1	1
1	6	4.33	4	1.73	0	0	0	0	3	3
1	4	1.95	3.3	4	1	0	1	3	1	1
4	0	3.3	3.25	2.2	1	1	0	2	2	2
5	1	1.25	6	10	2	0	2	4	0	1
2	2	2.4	3.3	2.9	1	0	1	1	0	1
1	0	2.55	3.2	2.8	1	0	1	2	0	1
1	1	4	3.8	1.8	0	1	-1	0	1	3
0	3	7	4	1.5	0	1	-1	1	2	3
2	1	1.85	3.75	4.5	2	0	2	4	0	1
0	6	1.91	3.7	4.33	0	0	0	2	0	1
2	1	2.2	3.4	3.6	1	0	1	2	0	1
4	1	3.3	3.6	2.25	0	0	0	0	0	2
2	2	5.75	4	1.67	0	2	-2	0	2	3
2	1	1.5	4.75	7	1	1	0	1	2	3
3	2	1.45	4.6	8.5	2	1	1	4	2	1
4	1	1.6	4.5	5.75	0	0	0	1	0	1
1	2	5.5	4.2	1.65	0	0	0	0	1	3
0	3	2.3	3.4	3.4	1	0	1	1	0	1
3	3	1.91	3.75	4.2	0	0	0	0	0	2
7	3	1.75	3.5	4.75	0	1	-1	0	2	3
1	3	1.6	3.75	5.75	0	0	0	0	0	2
2	2	2	3.5	3.6	0	0	0	0	0	2
1	4	3	3.4	2.3	0	0	0	0	1	3
3	5	2.4	3.5	2.75	0	1	-1	0	1	3
1	2	3.5	3.6	2	0	0	0	0	3	3
3	1	1.36	4.75	8	1	0	1	1	1	2
2	2	13	5.25	1.25	1	0	1	2	2	2
8	3	1.85	3.75	4	0	0	0	2	0	1
1	1	5.75	4.5	1.5	0	1	-1	0	1	3
2	3	8.5	5.25	1.4	0	0	0	1	0	1
0	3	2.25	3.6	3.3	0	1	-1	2	2	2
1	3	2.25	3.3	3.6	0	0	0	2	2	2
1	3	1.44	4.75	8	0	0	0	0	2	3
6	0	1.57	4.2	6.5	1	0	1	3	0	1
3	0	1.29	6.5	11	1	0	1	5	0	1
5	1	2.8	3.5	2.63	1	0	1	1	0	1
5	5	1.91	3.7	4.33	0	0	0	2	0	1
1	1	1.62	4.2	6	0	0	0	0	0	2
3	1	1.17	9	19	2	0	2	3	0	1
4	2	3.6	3.8	2.05	0	0	0	0	2	3
5	4	1.5	4.5	7.5	0	0	0	1	0	1
3	5	10	5.25	1.36	0	0	0	0	1	3
2	0	1.91	3.75	4.2	1	0	1	2	1	1
7	1	1.25	7	12	2	1	1	2	1	1
1	1	4	3.6	2	0	1	-1	1	2	3
2	4	4.75	4.1	1.75	0	1	-1	1	4	3
2	3	4.2	3.8	1.91	0	2	-2	0	2	3
3	4	2.1	3.6	3.75	2	0	2	4	0	1
5	1	1.73	3.9	5.25	1	0	1	2	1	1
2	4	5.25	4	1.7	0	1	-1	0	4	3
5	2	1.25	6.75	13	2	1	1	4	3	1
8	1	1.09	13	29	0	0	0	2	0	1
1	0	1.14	9	23	2	0	2	3	1	1
3	3	2.75	3.3	2.8	0	0	0	0	0	2
0	4	4.5	3.8	1.85	0	2	-2	1	6	3
3	3	1.45	5	7.5	2	0	2	3	1	1
2	0	2.45	3.5	3	1	1	0	1	2	3
8	0	1.14	9	23	1	1	0	5	1	1
0	2	7	4.75	1.5	0	3	-3	1	7	3
4	1	2	3.6	4	0	1	-1	1	1	2
1	1	1.14	9	23	1	0	1	3	0	1
3	2	2.5	3.3	3.1	2	0	2	2	0	1
1	5	1.8	3.8	4.75	0	0	0	0	1	3
4	1	2.1	3.5	3.75	0	1	-1	2	1	1
0	2	11	6	1.3	0	4	-4	0	5	3
