League	B365H	B365D	B365A	HTHG	HTAG	HTHG-AG	FTHG	FTAG	FTR
1	1.3	5.5	10	1	0	1	2	0	1
1	6	4	1.57	1	2	-1	3	4	3
1	2.88	3.25	2.5	1	0	1	1	0	1
1	1.8	3.5	4.75	1	3	-2	3	3	2
1	3.5	3.4	2.1	1	0	1	1	2	3
1	2.88	3.3	2.5	1	1	0	1	2	3
1	4	3.5	1.91	0	3	-3	0	3	3
1	1.29	5.5	11	1	0	1	3	0	1
1	5	3.75	1.7	1	1	0	1	1	2
1	1.57	4	6	1	1	0	2	2	2
1	1.33	5	10	1	1	0	3	1	1
1	2	3.5	3.75	0	1	-1	1	2	3
1	2.1	3.4	3.5	2	0	2	2	1	1
1	6	4.2	1.53	0	2	-2	0	4	3
1	1.2	6.5	15	0	0	0	0	1	3
1	1.4	4.5	8.5	2	0	2	3	0	1
1	3	3.4	2.38	1	1	0	1	2	3
1	2.55	3.5	2.9	0	1	-1	0	1	3
1	1.57	4.2	6.5	0	0	0	0	0	2
1	2.05	3.5	4	1	0	1	1	1	2
1	2.2	3.6	3.4	0	0	0	0	0	2
1	4.5	3.8	1.85	0	0	0	0	0	2
1	3	3.4	2.5	0	1	-1	3	2	1
1	4.33	3.5	1.95	0	1	-1	0	4	3
1	2.38	3.3	3.3	1	0	1	3	0	1
1	2.63	3.5	2.8	0	2	-2	0	2	3
1	1.91	3.8	4.2	1	0	1	2	1	1
1	1.25	6.5	15	2	0	2	2	2	2
1	1.33	5.5	10.5	2	0	2	5	0	1
1	1.25	6.5	14	1	0	1	2	0	1
1	1.75	4	5	1	0	1	1	2	3
1	2.2	3.4	3.6	0	0	0	3	1	1
1	1.75	4	5	0	2	-2	2	2	2
1	2.1	3.5	3.75	0	1	-1	1	1	2
1	2.15	3.4	3.8	1	3	-2	2	3	3
1	1.91	3.6	4	2	0	2	2	1	1
1	2.9	3.6	2.5	0	1	-1	1	1	2
1	3.6	3.5	2.05	0	0	0	0	0	2
1	1.44	4.75	8	1	1	0	5	1	1
1	2.9	3.4	2.6	0	2	-2	1	2	3
1	7.5	4.5	1.5	0	0	0	0	0	2
1	2.2	3.3	3.75	1	0	1	2	2	2
1	2.5	3.4	3	0	0	0	0	0	2
1	2.4	3.5	3.1	0	1	-1	2	2	2
1	1.6	4.1	6.5	2	0	2	2	1	1
1	2.2	3.5	3.5	1	0	1	3	1	1
1	1.25	6.5	14	2	1	1	2	1	1
1	4.75	3.75	1.83	1	0	1	1	1	2
1	7.5	4.5	1.5	0	1	-1	2	2	2
1	1.44	4.5	9	0	0	0	1	0	1
