HTHC	HTAC	B365H	B365D	B365A	HTHG	HTAG	HTH-AG	FTHG	FTAG	FTR
5	2	1.75	4.2	4.6	2	1	1	2	1	1
2	2	1.75	3.8	5.25	1	1	0	5	1	1
1	1	2.05	3.5	4	1	1	0	1	2	3
5	1	1.53	4.33	7	1	1	0	1	1	2
0	3	6.5	4	1.62	0	0	0	1	3	3
1	5	3	3.3	2.55	1	1	0	1	1	2
4	1	2.38	3.25	3.4	1	0	1	2	2	2
4	0	2.05	3.4	4.1	0	0	0	6	0	1
9	1	1.13	9.5	29	0	0	0	1	0	1
7	0	6.5	4.2	1.57	0	0	0	0	1	3
4	4	2.38	3.4	3.25	1	2	-1	3	3	2
1	1	2.2	3.5	3.5	2	1	1	2	1	1
1	0	1.83	3.7	4.75	1	0	1	2	1	1
1	1	4	3.7	2	0	0	0	0	1	3
3	0	1.44	4.33	8	1	0	1	3	0	1
2	0	1.29	6	13	0	0	0	2	0	1
2	2	2.38	3.3	3.3	1	1	0	1	1	2
4	2	2.5	3.3	3.1	1	1	0	2	1	1
2	0	1.3	6	11	1	0	1	2	0	1
7	2	1.8	3.8	4.75	0	1	-1	1	2	3
2	3	4	3.5	2.05	0	0	0	0	3	3
1	2	4	3.3	2.1	0	0	0	1	1	2
5	0	2.15	3.4	3.75	0	1	-1	0	1	3
4	5	5.75	4.25	1.62	1	1	0	2	3	3
2	3	2.6	3.4	2.88	0	0	0	1	0	1
3	5	2	3.5	4.1	0	1	-1	0	2	3
7	2	1.4	5	9	1	0	1	2	0	1
2	3	2.2	3.3	3.75	0	2	-2	1	4	3
1	4	6.5	4	1.6	0	0	0	0	2	3
0	2	1.57	4	7	0	0	0	2	0	1
3	1	1.83	3.7	4.75	0	0	0	1	0	1
1	5	1.36	5	10	0	0	0	2	0	1
3	2	5.25	4	1.7	0	1	-1	0	2	3
6	0	5.75	4	1.67	2	2	0	3	5	3
1	3	6	4.2	1.62	0	2	-2	1	2	3
2	1	1.22	7	15	0	0	0	2	0	1
3	2	2.35	3.2	3.5	0	0	0	1	0	1
2	2	1.22	7	15	1	2	-1	2	2	2
5	3	1.13	11	23	2	1	1	4	2	1
6	3	2.4	3.3	3.25	0	0	0	1	0	1
1	6	3.2	3.3	2.45	1	2	-1	2	2	2
2	3	3	3.4	2.5	1	2	-1	1	3	3
3	3	1.73	3.8	5.5	2	0	2	3	1	1
5	1	3.25	3.4	2.38	0	1	-1	1	3	3
1	1	3.5	3.4	2.25	0	1	-1	1	1	2
4	3	2.5	3.2	3.2	1	0	1	1	0	1
2	4	1.83	3.9	4.5	3	0	3	4	0	1
2	2	1.25	6.5	15	1	0	1	2	0	1
2	6	2.7	3.4	2.8	0	0	0	0	0	2
4	1	4.33	3.5	1.95	1	0	1	2	2	2
2	4	1.75	3.75	5.25	0	0	0	2	0	1
3	2	2.6	3.3	3	3	3	0	4	3	1
8	2	1.18	8	19	0	0	0	0	0	2
0	1	2.1	3.4	3.9	1	0	1	1	0	1
2	3	3.75	3.75	2.05	0	1	-1	1	5	3
3	2	2.3	3.4	3.4	0	1	-1	2	1	1
4	0	1.53	4.33	7	0	1	-1	2	1	1
2	4	3.6	3.4	2.2	0	0	0	0	3	3
2	6	4	3.5	2.05	1	0	1	1	1	2
2	1	1.95	3.5	4.33	0	2	-2	0	3	3
2	4	7	4	1.57	1	0	1	2	1	1
4	1	2.9	3.4	2.6	2	0	2	2	0	1
3	1	1.22	7	16	0	0	0	2	0	1
1	2	5.75	4.33	1.62	0	1	-1	1	1	2
4	1	1.85	3.8	4.5	0	1	-1	0	1	3
3	8	2.1	3.5	3.8	0	0	0	0	2	3
1	3	1.25	6.25	15	2	0	2	3	0	1
2	3	2.6	3.3	3	2	0	2	3	1	1
3	2	2.2	3.6	3.4	4	0	4	5	1	1
3	4	9	5.5	1.36	0	0	0	0	0	2
3	4	1.55	4	7.5	2	2	0	2	2	2
0	2	2.15	3.4	3.8	0	1	-1	0	2	3
1	1	1.85	3.6	4.75	0	0	0	3	0	1
6	1	1.2	7	19	0	1	-1	2	2	2
4	5	2.1	3.5	3.75	0	0	0	1	0	1
6	2	2.5	3.4	3	0	0	0	0	0	2
2	1	3	3.25	2.6	0	0	0	0	1	3
0	7	7.5	4.5	1.5	0	1	-1	1	1	2
3	2	2.05	3.5	4	0	0	0	2	0	1
4	4	2.15	3.5	3.6	0	0	0	0	0	2
6	3	8	5.25	1.4	1	1	0	2	3	3
3	4	3.3	3.5	2.3	0	1	-1	0	4	3
1	4	2.7	3.25	2.9	1	0	1	1	1	2
5	1	1.33	5.5	11	3	0	3	4	1	1
4	1	2.75	3.2	2.88	0	2	-2	0	4	3
