HTHC	HTAC	B365H	B365D	B365A	HTHG	HTAG	HTHG-AG	FTHG	FTAG	FTR
1	2	1.67	3.75	5.5	1	1	0	1	1	2
1	4	2.1	3.3	3.7	1	0	1	1	2	3
2	1	1.14	8.5	19	0	0	0	2	0	1
2	5	1.57	4	6	0	1	-1	0	2	3
3	2	1.83	3.6	4.5	1	0	1	2	0	1
2	0	2.5	3.3	2.88	1	1	0	1	2	3
5	2	2	3.3	4.2	0	0	0	1	1	2
3	2	2.5	3.4	2.8	0	1	-1	1	3	3
3	4	1.44	4.5	7.5	0	0	0	1	0	1
1	4	3.2	3.1	2.4	1	0	1	1	1	2
3	4	2.88	3.3	2.55	0	1	-1	0	1	3
4	5	1.85	3.75	4.2	2	0	2	2	2	2
5	3	1.57	4	6.25	1	1	0	3	1	1
0	1	2.05	3.5	3.6	0	1	-1	1	2	3
2	1	1.67	4.2	4.75	1	1	0	3	1	1
3	2	1.91	3.6	4	0	0	0	0	0	2
1	2	4.33	3.75	1.8	0	1	-1	0	2	3
4	4	6	4	1.57	1	2	-1	1	5	3
4	3	3.4	3.25	2.25	0	0	0	0	0	2
2	1	2.63	3	3	0	0	0	0	2	3
4	0	1.5	4.2	7	0	1	-1	3	1	1
0	2	7.5	4	1.5	1	0	1	1	1	2
4	1	1.4	4.5	9	1	1	0	2	1	1
5	0	2.63	3.2	2.8	0	0	0	0	1	3
1	2	2.05	3.25	4	2	0	2	4	0	1
4	1	1.44	4.75	7	0	0	0	1	0	1
3	2	1.85	3.6	4.5	5	1	4	7	1	1
3	0	1.14	8	21	1	0	1	3	0	1
2	1	8	4.75	1.4	0	1	-1	0	3	3
0	3	2.9	3.5	2.4	0	1	-1	1	3	3
3	2	1.91	3.5	4.2	0	0	0	0	1	3
3	0	1.57	4.2	5.75	0	0	0	3	1	1
1	1	1.7	3.8	5	1	0	1	1	0	1
3	3	3.7	3.75	1.95	1	1	0	2	2	2
5	0	1.25	6	12	1	0	1	3	0	1
6	2	2.3	3.1	3.4	0	1	-1	4	1	1
0	3	6	4.2	1.55	0	0	0	0	0	2
2	0	5.5	3.75	1.67	0	0	0	0	1	3
1	0	11	5.5	1.29	0	3	-3	2	3	3
1	5	1.22	6	15	2	1	1	3	1	1
1	4	7	4	1.53	0	1	-1	0	1	3
4	2	1.62	3.8	6	1	1	0	4	1	1
6	2	1.17	7.5	17	1	0	1	2	0	1
0	3	4.5	3.75	1.8	1	1	0	1	2	3
2	4	1.85	3.5	4.5	0	0	0	1	2	3
5	0	1.5	4.2	7	0	0	0	1	0	1
2	4	3.8	3.4	2.05	0	2	-2	0	5	3
5	2	2.38	3.3	3.1	0	1	-1	1	1	2
8	1	2.25	3.4	3.25	1	0	1	1	3	3
1	2	6	4.33	1.53	1	1	0	1	1	2
5	2	1.85	3.75	4.2	0	0	0	2	2	2
10	1	1.33	5.5	9	1	0	1	1	2	3
2	2	1.45	4.5	7	0	1	-1	1	1	2
3	3	1.83	3.75	4.2	1	1	0	1	1	2
6	1	1.25	6	12	1	0	1	2	0	1
2	3	7	4.75	1.44	0	2	-2	0	3	3
3	1	3	3.5	2.3	1	2	-1	2	3	3
1	1	10	5	1.33	2	0	2	2	1	1
1	1	2.7	3.6	2.5	0	1	-1	0	3	3
2	2	1.25	6	12	3	0	3	4	0	1
1	3	3	3.5	2.3	1	0	1	2	2	2
4	2	1.8	3.7	4.5	2	0	2	3	0	1
1	2	2.2	3.3	3.3	3	0	3	4	0	1
3	4	1.33	5	9	0	1	-1	1	2	3
3	5	5	3.75	1.67	1	1	0	2	2	2
2	2	2	3.4	3.75	2	0	2	2	2	2
10	1	1.22	6	13	0	0	0	3	0	1
1	4	2.55	3.2	2.8	0	0	0	0	0	2
0	1	9	5.75	1.29	0	2	-2	0	2	3
5	2	1.5	4.33	6	0	1	-1	1	1	2
8	1	2.1	3.5	3.3	0	1	-1	2	1	1
6	2	1.53	4	6	0	0	0	1	1	2
1	1	1.36	5	8.5	2	1	1	3	2	1
3	6	2.7	3.4	2.63	1	2	-1	5	4	1
2	5	3	3.5	2.25	0	0	0	1	3	3
1	1	1.18	7	17	3	0	3	4	0	1
3	2	1.14	8	21	5	0	5	6	2	1
5	3	1.36	4.75	9.5	0	1	-1	1	2	3
0	5	1.91	3.5	4.2	1	0	1	1	2	3
0	7	9.5	4.75	1.36	0	0	0	2	2	2
3	1	1.85	3.5	4.5	0	0	0	2	1	1
4	4	11	6.5	1.22	0	2	-2	1	4	3
3	2	3.75	3.4	2.05	1	0	1	2	2	2
0	1	1.62	4.2	5.25	0	1	-1	1	1	2
1	5	2.38	3.3	3	2	0	2	4	0	1
0	2	1.62	4.2	5.25	1	0	1	1	0	1
3	5	4	3.5	1.95	1	0	1	1	1	2
1	3	2.1	3.4	3.6	1	2	-1	1	3	3
3	1	1.67	3.75	5.5	1	0	1	1	2	3
